name,latitude,longitude
Agrigento,37.18,13.36
Alessandria,44.55,08.37
Ancona,43.37,13.31
Aosta,45.44,07.19
Arezzo,43.28,11.53
Ascoli Piceno,42.51,13.34
Asti,44.53,08.12
Avellino,40.55,14.47
Bari,41.07,16.53
Belluno,46.08,12.13
Benevento,41.08,14.46
Bergamo,45.42,09.40
Biella,45.34,08.03
Bologna,44.30,11.21
Bolzano,46.30,11.20
Brescia,45.32,10.12
Brindisi,40.39,17.56
Cagliari,39.13,09.07
Caltanissetta,37.29,14.04
Campobasso,41.34,14.39
Caserta,41.04,14.19
Catania,37.30,15.05
Catanzaro,38.54,16.35
Chieti,42.21,14.10
Como,45.48,09.05
Cosenza,39.17,16.15
Cremona,45.08,10.02
Crotone,39.05,17.08
Cuneo,44.24,07.33
Enna,37.34,14.16
Ferrara,44.50,11.38
Firenza,43.46,11.15
Foggia,41.28,15.33
Frosinone,41.38,13.22
Genova,44.25,08.55
Gorizia,45.57,13.38
Grosseto,42.46,11.07
Imperia,43.53,08.01
Isernia,41.36,14.14
L'Aquila,42.21,13.24
La Spezia,44.07,09.50
Latina,41.28,12.53
Lecce,40.21,18.11
Lecco,45.51,09.23
Livorno,43.33,10.19
Lodi,45.19,09.30
Lucca,43.51,10.31
Macerata,43.18,13.27
Mantova,45.09,10.47
Massa,44.20,10.05
Matera,40.41,16.36
Messina,38.11,15.34
MIlano,45.28,09.11
Modena,44.39,10.55
Napoli,40.21,14.15
Novara,45.27,08.38
Nuoro,40.19,09.16
Oristano,39.54,08.36
Padova,45.24,11.53
Palermo,38.07,13.21
Parma,44.48,10.21
Pavia,45.11,09.10
Perugia,43.07,12.24
Pesaro,43.54,12.55
Pescara,42.27,14.13
Piacenza,45.03,09.41
Pisa,43.43,10.24
Pistoia,43.56,10.55
Pordenone,45.57,12.39
Potenza,40.38,15.49
Prato,43.53,-11.0
Ragusa,36.56,-14.4
Ravenna,44.25,12.12
Reggio Calabria,38.06,15.39
Reggio Emilia,44.42,10.38
Rieti,42.22,12.52
Rimini,44.04,12.34
Roma,41.54,12.29
Rovigo,45.04,11.48
Salerno,40.41,14.46
Sassari,40.43,08.34
Savona,44.19,08.28
Siena,43.19,11.18
Siracusa,37.04,15.17
Sondrio,46.11,09.53
Taranto,40.28,17.14
Teramo,42.40,13.43
Terni,42.34,12.40
Torino,45.04,07.42
Trapani,38.01,12.32
Trento,46.04,11.08
Treviso,45.40,12.15
Trieste,45.39,13.46
Udine,46.04,13.14
Varese,45.50,08.49
Venezia,45.26,12.21
Verbania,45.56,08.33
Vercelli,45.20,08.25
Verona,45.27,11.00
Vibo Valentia,38.40,16.06
Vicenza,45.33,11.33
Viterbo,42.33,12.07
